id,semantic_ok,replay_ok,read_steps,qa_success_count,invalid_action_count,invalid_final_no_qa_count,qa_after_read,qa_unknown,last_qa_node_id,target_leaf_node_id,evidence_hit,qa_gold_support,soft_evidence_ok,total_steps,strict_keep,soft_keep
train_1627,True,True,2,1,0,3,True,False,train_1627_l1_0_l2_0_l3_3,train_1627_l1_0_l2_0_l3_3,True,False,True,9,False,True
train_1630,True,True,3,1,1,0,True,True,train_1630_l1_3_l2_4_l3_2,train_1630_l1_3_l2_4_l3_1,False,False,False,8,False,False
train_1632,True,True,2,1,0,0,True,False,train_1632_l1_0_l2_4_l3_4,train_1632_l1_0_l2_4_l3_4,True,False,True,6,True,True
train_1633,True,True,3,1,0,0,True,True,train_1633_l1_0_l2_1_l3_1,train_1633_l1_0_l2_1_l3_1,True,False,True,7,False,False
train_1635,True,True,4,1,1,1,True,True,train_1635_l1_1_l2_0_l3_4,train_1635_l1_3_l2_3_l3_3,False,False,False,10,False,False
train_1639,True,True,4,1,1,1,True,True,train_1639_l1_4_l2_1_l3_0,train_1639_l1_4_l2_1_l3_2,False,False,False,10,False,False
train_1645,True,True,2,1,0,0,True,False,train_1645_l1_0_l2_2_l3_0,train_1645_l1_0_l2_2_l3_0,True,False,True,6,True,True
train_1646,True,True,3,1,2,1,True,True,train_1646_l1_0_l2_1_l3_0,train_1646_l1_0_l2_1_l3_1,False,False,False,10,False,False
train_1647,True,True,2,1,0,0,True,True,train_1647_l1_1_l2_2_l3_0,train_1647_l1_1_l2_2_l3_0,True,False,True,6,False,False
train_1664,True,True,3,1,1,0,True,True,train_1664_l1_0_l2_1_l3_3,train_1664_l1_0_l2_1_l3_1,False,False,False,8,False,False
train_1667,True,True,2,1,0,0,True,False,train_1667_l1_2_l2_3_l3_3,train_1667_l1_2_l2_3_l3_2,False,False,False,6,False,False
train_1669,True,True,2,1,0,3,True,False,train_1669_l1_3_l2_0_l3_2,train_1669_l1_3_l2_0_l3_2,True,True,True,9,False,True
train_1670,True,True,3,1,1,0,True,False,train_1670_l1_3_l2_1_l3_1,train_1670_l1_3_l2_1_l3_1,True,False,True,8,False,True
train_1672,True,True,3,1,0,0,True,False,train_1672_l1_3_l2_2_l3_3,train_1672_l1_3_l2_2_l3_2,False,False,False,7,False,False
train_1676,True,True,2,1,0,0,True,False,train_1676_l1_3_l2_0_l3_2,train_1676_l1_3_l2_0_l3_2,True,False,True,6,True,True
train_1684,True,True,2,1,0,2,True,False,train_1684_l1_3_l2_0_l3_2,train_1684_l1_3_l2_0_l3_2,True,False,True,8,False,True
train_1692,True,True,2,1,0,2,True,True,train_1692_l1_0_l2_3_l3_1,train_1692_l1_0_l2_3_l3_0,False,False,False,8,False,False
train_1695,True,True,5,1,1,0,True,True,train_1695_l1_1_l2_0_l3_2,train_1695_l1_1_l2_0_l3_3,False,False,False,10,False,False
train_1698,True,True,2,1,0,0,True,False,train_1698_l1_2_l2_4_l3_4,train_1698_l1_2_l2_4_l3_4,True,False,True,6,True,True
train_1703,True,True,4,1,0,0,True,False,train_1703_l1_1_l2_0_l3_3,train_1703_l1_1_l2_0_l3_3,True,False,True,8,True,True
train_1707,True,True,2,1,0,0,True,False,train_1707_l1_3_l2_4_l3_2,train_1707_l1_3_l2_4_l3_2,True,False,True,6,True,True
train_1717,True,True,3,1,0,0,True,False,train_1717_l1_0_l2_3_l3_0,train_1717_l1_0_l2_3_l3_0,True,False,True,7,True,True
train_1718,True,True,2,1,1,2,True,False,train_1718_l1_2_l2_1_l3_2,train_1718_l1_2_l2_1_l3_2,True,True,True,9,False,True
train_1741,True,True,3,1,1,0,True,True,train_1741_l1_7_l2_0_l3_3,train_1741_l1_7_l2_0_l3_1,False,False,False,8,False,False
train_1767,True,True,2,1,0,0,True,False,train_1767_l1_5_l2_0_l3_3,train_1767_l1_5_l2_0_l3_3,True,True,True,6,True,True
train_1776,True,True,2,1,0,1,True,False,train_1776_l1_5_l2_0_l3_2,train_1776_l1_5_l2_0_l3_2,True,False,True,7,False,True
train_1777,True,True,2,1,0,0,True,False,train_1777_l1_5_l2_0_l3_3,train_1777_l1_5_l2_0_l3_3,True,True,True,6,True,True
train_1787,True,True,2,1,0,0,True,False,train_1787_l1_1_l2_2_l3_1,train_1787_l1_1_l2_2_l3_1,True,False,True,6,True,True
train_1793,True,True,6,1,0,0,True,False,train_1793_l1_4_l2_2_l3_2,train_1793_l1_4_l2_2_l3_2,True,False,True,10,True,True
train_1794,True,True,2,1,1,2,True,False,train_1794_l1_4_l2_1_l3_2,train_1794_l1_4_l2_1_l3_2,True,True,True,9,False,True
